checkpoint,step,task,accuracy,centered
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,hellaswag_zeroshot,0.404000,0.205333
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,jeopardy,0.022000,0.022000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,bigbench_qa_wikidata,0.370000,0.370000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,arc_easy,0.618000,0.490667
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,arc_challenge,0.308000,0.077333
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,copa,0.630000,0.260000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,commonsense_qa,0.392000,0.240000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,piqa,0.690000,0.380000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,openbook_qa,0.340000,0.120000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,lambada_openai,0.344000,0.344000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,hellaswag,0.410000,0.213333
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,winograd,0.571429,0.142857
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,winogrande,0.514000,0.028000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,bigbench_dyck_languages,0.070000,0.070000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,agi_eval_lsat_ar,0.265217,0.081522
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,bigbench_cs_algorithms,0.426000,0.426000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,bigbench_operators,0.114286,0.114286
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,bigbench_repeat_copy_logic,0.031250,0.031250
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,squad,0.218000,0.218000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,coqa,0.196000,0.196000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,boolq,0.456000,-0.431579
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,bigbench_language_identification,0.254000,0.179318
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_8T_D12/depth_12/ckpt_remixed-linear/remixed-linear,24662,CORE,,0.171742
